Customer_id,Name,City,State,Pincode
C000001,Mohammed Ghosh,Mumbai,Maharashtra,302825
C000002,Akshay Chad,Bengaluru,Karnataka,274425
C000003,Zarna Sheth,Chennai,Tamil Nadu,910725
C000004,Barkha Wagle,Hyderabad,Telangana,50309
C000005,Triveni Din,Hyderabad,Telangana,812363
C000006,Advaith Baral,Delhi,Delhi,770663
C000007,Wazir Borah,Mumbai,Maharashtra,151058
C000008,Ekanta Pandit,Jaipur,Rajasthan,587429
C000009,Sai Ravel,Mumbai,Maharashtra,822171
C000010,Chasmum Dara,Lucknow,Uttar Pradesh,662716
C000011,Kashvi Divan,Kolkata,West Bengal,523455
C000012,Krisha Vaidya,Bengaluru,Karnataka,84070
C000013,Patrick Chakrabarti,Bengaluru,Karnataka,929952
C000014,Aayush Magar,Mumbai,Maharashtra,534716
C000015,Akshay Comar,Hyderabad,Telangana,795325
C000016,George Kara,Hyderabad,Telangana,315791
C000017,Raksha Shah,Jaipur,Rajasthan,608489
C000018,Turvi Sanghvi,Lucknow,Uttar Pradesh,558028
C000019,Divya Narain,Bengaluru,Karnataka,207135
C000020,Abhiram Natarajan,Jaipur,Rajasthan,925442
C000021,Matthew Sem,Hyderabad,Telangana,204424
C000022,Chakradev Sen,Jaipur,Rajasthan,35018
C000023,Diya Rajan,Kolkata,West Bengal,35378
C000024,Girindra Master,Hyderabad,Telangana,735436
C000025,Aarna Shere,Ahmedabad,Gujarat,79943
C000026,Oni Chatterjee,Lucknow,Uttar Pradesh,32169
C000027,Xiti Sha,Chennai,Tamil Nadu,149387
C000028,Panini Atwal,Bengaluru,Karnataka,996044
C000029,Pranit Taneja,Delhi,Delhi,696484
C000030,Aayush Sheth,Kolkata,West Bengal,220612
C000031,Aradhana Yogi,Pune,Maharashtra,878690
C000032,Reva Konda,Chennai,Tamil Nadu,993725
C000033,Champak Dhingra,Delhi,Delhi,205319
C000034,Adya Varty,Hyderabad,Telangana,668109
C000035,Girindra Bhat,Pune,Maharashtra,548157
C000036,Turvi Luthra,Mumbai,Maharashtra,823511
C000037,Dayamai Nadkarni,Mumbai,Maharashtra,326284
C000038,Yochana Khare,Kolkata,West Bengal,30682
C000039,Samaksh Koshy,Mumbai,Maharashtra,826869
C000040,Yauvani Venkataraman,Pune,Maharashtra,316152
C000041,Dhriti Pillai,Pune,Maharashtra,932950
C000042,Yachana Bora,Lucknow,Uttar Pradesh,581398
C000043,Warda Mistry,Chennai,Tamil Nadu,637896
C000044,Samaksh Balakrishnan,Bengaluru,Karnataka,146286
C000045,Saanvi Anand,Ahmedabad,Gujarat,532309
C000046,Upkaar Agarwal,Jaipur,Rajasthan,484753
C000047,Zilmil Parikh,Mumbai,Maharashtra,753308
C000048,Advay Narayan,Kolkata,West Bengal,528838
C000049,Isaac Sampath,Mumbai,Maharashtra,834009
C000050,Jonathan Bhat,Jaipur,Rajasthan,734334
C000051,Warinder Zacharia,Chennai,Tamil Nadu,108644
C000052,Rajata Dhaliwal,Lucknow,Uttar Pradesh,560669
C000053,Hemangini Khosla,Pune,Maharashtra,815285
C000054,Geetika Dugal,Lucknow,Uttar Pradesh,81847
C000055,Dakshesh Shere,Hyderabad,Telangana,270297
C000056,Warda Nagarajan,Mumbai,Maharashtra,438465
C000057,Yashodhara Setty,Bengaluru,Karnataka,806125
C000058,Yashica Jha,Hyderabad,Telangana,760309
C000059,Varenya Choudhry,Chennai,Tamil Nadu,58490
C000060,Ikbal Garg,Mumbai,Maharashtra,571477
C000061,Qabil Gera,Hyderabad,Telangana,190013
C000062,Eiravati Sinha,Mumbai,Maharashtra,245291
C000063,Samar Nazareth,Kolkata,West Bengal,71511
C000064,Ekta Vig,Chennai,Tamil Nadu,963857
C000065,Balhaar Goda,Ahmedabad,Gujarat,803196
C000066,Xiti Mannan,Pune,Maharashtra,787516
C000067,Yadavi Narayanan,Delhi,Delhi,767318
C000068,Qasim Prabhu,Pune,Maharashtra,824274
